protocol_id,link,titles
prot-1871--ak--0519,https://swerik-project.github.io/riksdagen-records-pdf/1871/prot-1871--ak--0519/prot-1871--ak--0519_005,no header
prot-1872--ak--0120,https://swerik-project.github.io/riksdagen-records-pdf/1872/prot-1872--ak--0120/prot-1872--ak--0120_001,§ 1.
prot-1872--ak--0404,https://swerik-project.github.io/riksdagen-records-pdf/1872/prot-1872--ak--0404/prot-1872--ak--0404_079,no header
prot-1872--fk--0228,https://swerik-project.github.io/riksdagen-records-pdf/1872/prot-1872--fk--0228/prot-1872--fk--0228_041,no header
prot-1872--fk--0316,https://swerik-project.github.io/riksdagen-records-pdf/1872/prot-1872--fk--0316/prot-1872--fk--0316_017,no header
prot-1872--fk--0425,https://swerik-project.github.io/riksdagen-records-pdf/1872/prot-1872--fk--0425/prot-1872--fk--0425_002,no header
prot-1872--fk--0506,https://swerik-project.github.io/riksdagen-records-pdf/1872/prot-1872--fk--0506/prot-1872--fk--0506_005,no header
prot-1873--ak--0208,https://swerik-project.github.io/riksdagen-records-pdf/1873/prot-1873--ak--0208/prot-1873--ak--0208_043,§ 6.; § 7.; § 8.
prot-1873--ak--0228,https://swerik-project.github.io/riksdagen-records-pdf/1873/prot-1873--ak--0228/prot-1873--ak--0228_000,§ 1.; § 2.; § 3.; § 4.
prot-1873--ak--0308,https://swerik-project.github.io/riksdagen-records-pdf/1873/prot-1873--ak--0308/prot-1873--ak--0308_019,no header
prot-1873--ak--0319,https://swerik-project.github.io/riksdagen-records-pdf/1873/prot-1873--ak--0319/prot-1873--ak--0319_015,no header
prot-1873--ak--0510,https://swerik-project.github.io/riksdagen-records-pdf/1873/prot-1873--ak--0510/prot-1873--ak--0510_068,no header
prot-1873--fk--0308,https://swerik-project.github.io/riksdagen-records-pdf/1873/prot-1873--fk--0308/prot-1873--fk--0308_035,no header
prot-1874--ak--0318,https://swerik-project.github.io/riksdagen-records-pdf/1874/prot-1874--ak--0318/prot-1874--ak--0318_063,no header
prot-1875--ak--015,https://swerik-project.github.io/riksdagen-records-pdf/1875/prot-1875--ak--015/prot-1875--ak--015_038,no header
prot-1875--fk--032,https://swerik-project.github.io/riksdagen-records-pdf/1875/prot-1875--fk--032/prot-1875--fk--032_003,no header
prot-1875--fk--040,https://swerik-project.github.io/riksdagen-records-pdf/1875/prot-1875--fk--040/prot-1875--fk--040_026,no header
prot-1876--fk--025,https://swerik-project.github.io/riksdagen-records-pdf/1876/prot-1876--fk--025/prot-1876--fk--025_002,no header
prot-1877--ak--020,https://swerik-project.github.io/riksdagen-records-pdf/1877/prot-1877--ak--020/prot-1877--ak--020_020,no header
prot-1877--ak--044,https://swerik-project.github.io/riksdagen-records-pdf/1877/prot-1877--ak--044/prot-1877--ak--044_051,no header
prot-1877--ak--048,https://swerik-project.github.io/riksdagen-records-pdf/1877/prot-1877--ak--048/prot-1877--ak--048_051,no header
prot-1877--ak--061,https://swerik-project.github.io/riksdagen-records-pdf/1877/prot-1877--ak--061/prot-1877--ak--061_043,no header
prot-1877--fk--014,https://swerik-project.github.io/riksdagen-records-pdf/1877/prot-1877--fk--014/prot-1877--fk--014_014,no header
prot-1877--fk--023,https://swerik-project.github.io/riksdagen-records-pdf/1877/prot-1877--fk--023/prot-1877--fk--023_006,no header
prot-1878--ak--026,https://swerik-project.github.io/riksdagen-records-pdf/1878/prot-1878--ak--026/prot-1878--ak--026_048,no header
prot-1878--ak--046,https://swerik-project.github.io/riksdagen-records-pdf/1878/prot-1878--ak--046/prot-1878--ak--046_040,no header
prot-1878--fk--010,https://swerik-project.github.io/riksdagen-records-pdf/1878/prot-1878--fk--010/prot-1878--fk--010_020,no header
prot-1879--ak--002,https://swerik-project.github.io/riksdagen-records-pdf/1879/prot-1879--ak--002/prot-1879--ak--002_011,no header
prot-1879--ak--019,https://swerik-project.github.io/riksdagen-records-pdf/1879/prot-1879--ak--019/prot-1879--ak--019_018,no header
prot-1879--fk--021,https://swerik-project.github.io/riksdagen-records-pdf/1879/prot-1879--fk--021/prot-1879--fk--021_034,no header
prot-1880--ak--059,https://swerik-project.github.io/riksdagen-records-pdf/1880/prot-1880--ak--059/prot-1880--ak--059_023,§ 13.
prot-1881--ak--024,https://swerik-project.github.io/riksdagen-records-pdf/1881/prot-1881--ak--024/prot-1881--ak--024_018,no header
prot-1881--fk--014,https://swerik-project.github.io/riksdagen-records-pdf/1881/prot-1881--fk--014/prot-1881--fk--014_032,no header
prot-1882--ak--012,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--ak--012/prot-1882--ak--012_005,no header
prot-1882--ak--020,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--ak--020/prot-1882--ak--020_027,§ 10.; § 11.; § 12. 
prot-1882--ak--037,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--ak--037/prot-1882--ak--037_022,no header
prot-1882--ak--042,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--ak--042/prot-1882--ak--042_008,no header
prot-1882--ak--049,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--ak--049/prot-1882--ak--049_002,§ 5.
prot-1882--ak--052,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--ak--052/prot-1882--ak--052_000,§ 1.
prot-1882--ak--058,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--ak--058/prot-1882--ak--058_023,no header
prot-1882--fk--008,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--fk--008/prot-1882--fk--008_025,no header
prot-1882--fk--047,https://swerik-project.github.io/riksdagen-records-pdf/1882/prot-1882--fk--047/prot-1882--fk--047_046,no header
prot-1883--ak--021,https://swerik-project.github.io/riksdagen-records-pdf/1883/prot-1883--ak--021/prot-1883--ak--021_019,no header
prot-1883--fk--027,https://swerik-project.github.io/riksdagen-records-pdf/1883/prot-1883--fk--027/prot-1883--fk--027_027,no header
prot-1884--fk--040,https://swerik-project.github.io/riksdagen-records-pdf/1884/prot-1884--fk--040/prot-1884--fk--040_046,no header
prot-1885--fk--021,https://swerik-project.github.io/riksdagen-records-pdf/1885/prot-1885--fk--021/prot-1885--fk--021_045,no header
prot-1885--fk--028,https://swerik-project.github.io/riksdagen-records-pdf/1885/prot-1885--fk--028/prot-1885--fk--028_022,no header
prot-1886--fk--019,https://swerik-project.github.io/riksdagen-records-pdf/1886/prot-1886--fk--019/prot-1886--fk--019_013,no header
prot-1887-janmar-ak--010,https://swerik-project.github.io/riksdagen-records-pdf/1887/prot-1887-janmar-ak--010/prot-1887-janmar-ak--010_030,no header
prot-1887-majjul-ak--011,https://swerik-project.github.io/riksdagen-records-pdf/1887/prot-1887-majjul-ak--011/prot-1887-majjul-ak--011_031,no header
prot-1887-majjul-ak--015,https://swerik-project.github.io/riksdagen-records-pdf/1887/prot-1887-majjul-ak--015/prot-1887-majjul-ak--015_035,no header
prot-1887-majjul-ak--027,https://swerik-project.github.io/riksdagen-records-pdf/1887/prot-1887-majjul-ak--027/prot-1887-majjul-ak--027_047,no header
prot-1887-majjul-fk--010,https://swerik-project.github.io/riksdagen-records-pdf/1887/prot-1887-majjul-fk--010/prot-1887-majjul-fk--010_027,no header
prot-1887-majjul-fk--017,https://swerik-project.github.io/riksdagen-records-pdf/1887/prot-1887-majjul-fk--017/prot-1887-majjul-fk--017_022,no header
prot-1888--ak--033,https://swerik-project.github.io/riksdagen-records-pdf/1888/prot-1888--ak--033/prot-1888--ak--033_015,no header
prot-1888--ak--051,https://swerik-project.github.io/riksdagen-records-pdf/1888/prot-1888--ak--051/prot-1888--ak--051_003,no header
prot-1888--fk--026,https://swerik-project.github.io/riksdagen-records-pdf/1888/prot-1888--fk--026/prot-1888--fk--026_000,no header
prot-1889--ak--019,https://swerik-project.github.io/riksdagen-records-pdf/1889/prot-1889--ak--019/prot-1889--ak--019_014,no header
prot-1889--ak--028,https://swerik-project.github.io/riksdagen-records-pdf/1889/prot-1889--ak--028/prot-1889--ak--028_029,no header
prot-1889--fk--026,https://swerik-project.github.io/riksdagen-records-pdf/1889/prot-1889--fk--026/prot-1889--fk--026_055,no header
prot-1890--fk--006,https://swerik-project.github.io/riksdagen-records-pdf/1890/prot-1890--fk--006/prot-1890--fk--006_004,no header
prot-1891--ak--030,https://swerik-project.github.io/riksdagen-records-pdf/1891/prot-1891--ak--030/prot-1891--ak--030_013,no header
prot-1891--fk--008,https://swerik-project.github.io/riksdagen-records-pdf/1891/prot-1891--fk--008/prot-1891--fk--008_010,no header
prot-1891--fk--037,https://swerik-project.github.io/riksdagen-records-pdf/1891/prot-1891--fk--037/prot-1891--fk--037_000,no header
prot-1892--ak--014,https://swerik-project.github.io/riksdagen-records-pdf/1892/prot-1892--ak--014/prot-1892--ak--014_037,no header
prot-1892--ak--026,https://swerik-project.github.io/riksdagen-records-pdf/1892/prot-1892--ak--026/prot-1892--ak--026_024,no header
prot-1892--ak--031,https://swerik-project.github.io/riksdagen-records-pdf/1892/prot-1892--ak--031/prot-1892--ak--031_046,no header
prot-1892--ak--037,https://swerik-project.github.io/riksdagen-records-pdf/1892/prot-1892--ak--037/prot-1892--ak--037_033,no header
prot-1892--ak--040,https://swerik-project.github.io/riksdagen-records-pdf/1892/prot-1892--ak--040/prot-1892--ak--040_014,no header
prot-1892--ak--045,https://swerik-project.github.io/riksdagen-records-pdf/1892/prot-1892--ak--045/prot-1892--ak--045_040,no header
prot-1892--fk--007,https://swerik-project.github.io/riksdagen-records-pdf/1892/prot-1892--fk--007/prot-1892--fk--007_013,no header
prot-1892--fk--044,https://swerik-project.github.io/riksdagen-records-pdf/1892/prot-1892--fk--044/prot-1892--fk--044_024,no header
prot-1893--ak--005,https://swerik-project.github.io/riksdagen-records-pdf/1893/prot-1893--ak--005/prot-1893--ak--005_008,§ 7.
prot-1893--fk--016,https://swerik-project.github.io/riksdagen-records-pdf/1893/prot-1893--fk--016/prot-1893--fk--016_015,no header
prot-1894--fk--018,https://swerik-project.github.io/riksdagen-records-pdf/1894/prot-1894--fk--018/prot-1894--fk--018_018,no header
prot-1895--ak--044,https://swerik-project.github.io/riksdagen-records-pdf/1895/prot-1895--ak--044/prot-1895--ak--044_024,no header
prot-1895--fk--008,https://swerik-project.github.io/riksdagen-records-pdf/1895/prot-1895--fk--008/prot-1895--fk--008_004,no header
prot-1896--ak--047,https://swerik-project.github.io/riksdagen-records-pdf/1896/prot-1896--ak--047/prot-1896--ak--047_037,§ 8.
prot-1896--fk--023,https://swerik-project.github.io/riksdagen-records-pdf/1896/prot-1896--fk--023/prot-1896--fk--023_057,no header
prot-1897--ak--017,https://swerik-project.github.io/riksdagen-records-pdf/1897/prot-1897--ak--017/prot-1897--ak--017_043,no header
prot-1897--ak--020,https://swerik-project.github.io/riksdagen-records-pdf/1897/prot-1897--ak--020/prot-1897--ak--020_011,no header
prot-1897--ak--030,https://swerik-project.github.io/riksdagen-records-pdf/1897/prot-1897--ak--030/prot-1897--ak--030_038,no header
prot-1897--ak--040,https://swerik-project.github.io/riksdagen-records-pdf/1897/prot-1897--ak--040/prot-1897--ak--040_044,no header
prot-1897--ak--044,https://swerik-project.github.io/riksdagen-records-pdf/1897/prot-1897--ak--044/prot-1897--ak--044_016,no header
prot-1898--ak--009,https://swerik-project.github.io/riksdagen-records-pdf/1898/prot-1898--ak--009/prot-1898--ak--009_028,no header
prot-1898--ak--024,https://swerik-project.github.io/riksdagen-records-pdf/1898/prot-1898--ak--024/prot-1898--ak--024_049,no header
prot-1898--ak--039,https://swerik-project.github.io/riksdagen-records-pdf/1898/prot-1898--ak--039/prot-1898--ak--039_061,no header
prot-1898--fk--029,https://swerik-project.github.io/riksdagen-records-pdf/1898/prot-1898--fk--029/prot-1898--fk--029_063,no header
prot-1899--ak--006,https://swerik-project.github.io/riksdagen-records-pdf/1899/prot-1899--ak--006/prot-1899--ak--006_008,§ 7.; § 8.
prot-1899--fk--014,https://swerik-project.github.io/riksdagen-records-pdf/1899/prot-1899--fk--014/prot-1899--fk--014_008,no header
prot-1900--fk--025,https://swerik-project.github.io/riksdagen-records-pdf/1900/prot-1900--fk--025/prot-1900--fk--025_053,no header
prot-1901--fk--009,https://swerik-project.github.io/riksdagen-records-pdf/1901/prot-1901--fk--009/prot-1901--fk--009_001,no header
prot-1902--ak--013,https://swerik-project.github.io/riksdagen-records-pdf/1902/prot-1902--ak--013/prot-1902--ak--013_034,no header
prot-1902--ak--042,https://swerik-project.github.io/riksdagen-records-pdf/1902/prot-1902--ak--042/prot-1902--ak--042_000,§ 1.
prot-1902--ak--051,https://swerik-project.github.io/riksdagen-records-pdf/1902/prot-1902--ak--051/prot-1902--ak--051_005,no header
prot-1902--fk--021,https://swerik-project.github.io/riksdagen-records-pdf/1902/prot-1902--fk--021/prot-1902--fk--021_051,no header
prot-1902--fk--026,https://swerik-project.github.io/riksdagen-records-pdf/1902/prot-1902--fk--026/prot-1902--fk--026_028,no header
prot-1902--fk--036,https://swerik-project.github.io/riksdagen-records-pdf/1902/prot-1902--fk--036/prot-1902--fk--036_052,no header
prot-1903--ak--011,https://swerik-project.github.io/riksdagen-records-pdf/1903/prot-1903--ak--011/prot-1903--ak--011_002,§ 3.
prot-1903--ak--018,https://swerik-project.github.io/riksdagen-records-pdf/1903/prot-1903--ak--018/prot-1903--ak--018_004,§ 8.; § 9.; § 10.
prot-1903--ak--026,https://swerik-project.github.io/riksdagen-records-pdf/1903/prot-1903--ak--026/prot-1903--ak--026_017,no header
prot-1903--ak--063,https://swerik-project.github.io/riksdagen-records-pdf/1903/prot-1903--ak--063/prot-1903--ak--063_002,no header
prot-1903--fk--030,https://swerik-project.github.io/riksdagen-records-pdf/1903/prot-1903--fk--030/prot-1903--fk--030_014,no header
prot-1904--ak--052,https://swerik-project.github.io/riksdagen-records-pdf/1904/prot-1904--ak--052/prot-1904--ak--052_076,no header
prot-1905--ak--052,https://swerik-project.github.io/riksdagen-records-pdf/1905/prot-1905--ak--052/prot-1905--ak--052_041,no header
prot-1906--ak--035,https://swerik-project.github.io/riksdagen-records-pdf/1906/prot-1906--ak--035/prot-1906--ak--035_025,no header
prot-1906--ak--045,https://swerik-project.github.io/riksdagen-records-pdf/1906/prot-1906--ak--045/prot-1906--ak--045_053,§ 6.
prot-1907--ak--044,https://swerik-project.github.io/riksdagen-records-pdf/1907/prot-1907--ak--044/prot-1907--ak--044_010,no header
prot-1907--ak--064,https://swerik-project.github.io/riksdagen-records-pdf/1907/prot-1907--ak--064/prot-1907--ak--064_023,no header
prot-1907--fk--035,https://swerik-project.github.io/riksdagen-records-pdf/1907/prot-1907--fk--035/prot-1907--fk--035_031,no header
prot-1907--fk--039,https://swerik-project.github.io/riksdagen-records-pdf/1907/prot-1907--fk--039/prot-1907--fk--039_035,no header
prot-1907--fk--053,https://swerik-project.github.io/riksdagen-records-pdf/1907/prot-1907--fk--053/prot-1907--fk--053_005,no header
prot-1908--ak--017,https://swerik-project.github.io/riksdagen-records-pdf/1908/prot-1908--ak--017/prot-1908--ak--017_013,no header
prot-1908--ak--026,https://swerik-project.github.io/riksdagen-records-pdf/1908/prot-1908--ak--026/prot-1908--ak--026_063,no header
prot-1908--ak--067,https://swerik-project.github.io/riksdagen-records-pdf/1908/prot-1908--ak--067/prot-1908--ak--067_004,§ 4.; § 5.
prot-1908--fk--022,https://swerik-project.github.io/riksdagen-records-pdf/1908/prot-1908--fk--022/prot-1908--fk--022_004,no header
prot-1908--fk--057,https://swerik-project.github.io/riksdagen-records-pdf/1908/prot-1908--fk--057/prot-1908--fk--057_007,no header
prot-1909--ak--030,https://swerik-project.github.io/riksdagen-records-pdf/1909/prot-1909--ak--030/prot-1909--ak--030_007,no header
prot-1909--ak--042,https://swerik-project.github.io/riksdagen-records-pdf/1909/prot-1909--ak--042/prot-1909--ak--042_026,no header
prot-1909--fk--033,https://swerik-project.github.io/riksdagen-records-pdf/1909/prot-1909--fk--033/prot-1909--fk--033_015,no header
prot-1910--ak--063,https://swerik-project.github.io/riksdagen-records-pdf/1910/prot-1910--ak--063/prot-1910--ak--063_017,no header
prot-1911--ak--033,https://swerik-project.github.io/riksdagen-records-pdf/1911/prot-1911--ak--033/prot-1911--ak--033_078,no header
