protocol_id;x;facs;github;NROWS;NCOLS;row_to_check;content;tricky
prot-1890--ak--19;0;https://betalab.kb.se/prot-1890--ak--19/prot_1890__ak__19-000.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1890/prot-1890--ak--19.xml#L61;33;1;7;lästes:;
prot-1890--ak--19;0;https://betalab.kb.se/prot-1890--ak--19/prot_1890__ak__19-000.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1890/prot-1890--ak--19.xml#L61;33;1;10;ledighet för att derunder sköta sig, intygar;
prot-1890--ak--19;0;https://betalab.kb.se/prot-1890--ak--19/prot_1890__ak__19-000.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1890/prot-1890--ak--19.xml#L61;33;1;33;Andra Kammarens Prot. 1890, N:o 19.;
prot-1890--ak--40;34;https://betalab.kb.se/prot-1890--ak--40/prot_1890__ak__40-034.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1890/prot-1890--ak--40.xml#L2837;48;1;7;håller synes vara att befara, att det moraliska ansvaret för sparban-;
prot-1890--ak--40;34;https://betalab.kb.se/prot-1890--ak--40/prot_1890__ak__40-034.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1890/prot-1890--ak--40.xml#L2837;48;1;13;ning, blefve urståndssatt att fullgöra sina förbindelser, skulden derför;
prot-1890--ak--40;34;https://betalab.kb.se/prot-1890--ak--40/prot_1890__ak__40-034.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1890/prot-1890--ak--40.xml#L2837;48;1;45;så får han låna. Men hur många äro väl de, ute på landsbygden,;
prot-1891--ak--29;5;https://betalab.kb.se/prot-1891--ak--29/prot_1891__ak__29-005.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--29.xml#L543;44;1;13;Herr Pehrson i Törneryd: Mot hvad den föregående talaren;
prot-1891--ak--29;5;https://betalab.kb.se/prot-1891--ak--29/prot_1891__ak__29-005.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--29.xml#L543;44;1;16;vägars lån af staten, huru vida man vill att staten skall göra några;
prot-1891--ak--29;5;https://betalab.kb.se/prot-1891--ak--29/prot_1891__ak__29-005.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--29.xml#L543;44;1;25;man icke kan nedsätta räntan till 4 proc. för de enskilda jernvägarne,;
prot-1891--ak--39;0;https://betalab.kb.se/prot-1891--ak--39/prot_1891__ak__39-000.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--39.xml#L61;35;1;1;Riksdagens protokoll;
prot-1891--ak--39;0;https://betalab.kb.se/prot-1891--ak--39/prot_1891__ak__39-000.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--39.xml#L61;35;1;24;anledning af den motivering, utskottet begagnat för afslag å motionen,;
prot-1891--ak--39;0;https://betalab.kb.se/prot-1891--ak--39/prot_1891__ak__39-000.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--39.xml#L61;35;1;34;alltid sagt, att åstadkommandet af en verksam kontroll vore alldeles;
prot-1891--ak--49;28;https://betalab.kb.se/prot-1891--ak--49/prot_1891__ak__49-028.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--49.xml#L2350;47;1;21;"999 kronor, är han fri; men om det är tre, få de betala. Härvid";
prot-1891--ak--49;28;https://betalab.kb.se/prot-1891--ak--49/prot_1891__ak__49-028.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--49.xml#L2350;47;1;34;digheter förbjuda, att en person får betala ⅔ procent skatt för;
prot-1891--ak--49;28;https://betalab.kb.se/prot-1891--ak--49/prot_1891__ak__49-028.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1891/prot-1891--ak--49.xml#L2350;47;1;42;förekomma nästa vecka och då äro vi qvar hät i alla fall, om än;
prot-1892--ak--14;11;https://betalab.kb.se/prot-1892--ak--14/prot_1892__ak__14-011.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1892/prot-1892--ak--14.xml#L906;48;1;8;rum i tullen å spanmål, kommer också det mjöl som förmales;
prot-1892--ak--14;11;https://betalab.kb.se/prot-1892--ak--14/prot_1892__ak__14-011.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1892/prot-1892--ak--14.xml#L906;48;1;20;med utländskt mjöl, som vid sin infördel förenligt, att, när;
prot-1892--ak--14;11;https://betalab.kb.se/prot-1892--ak--14/prot_1892__ak__14-011.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1892/prot-1892--ak--14.xml#L906;48;1;47;skulle komma I fråga, så synnerligen mycket spanmål intagits;
prot-1892--ak--47;42;https://betalab.kb.se/prot-1892--ak--47/prot_1892__ak__47-042.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1892/prot-1892--ak--47.xml#L3263;39;1;23;oveld och det aldrig svikande tålamod, hvarmed ni under den nu af-;
prot-1892--ak--47;42;https://betalab.kb.se/prot-1892--ak--47/prot_1892__ak__47-042.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1892/prot-1892--ak--47.xml#L3263;39;1;26;leda kammarens förhandlingar. Ni har derigenom ytterligare ökat den;
prot-1892--ak--47;42;https://betalab.kb.se/prot-1892--ak--47/prot_1892__ak__47-042.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1892/prot-1892--ak--47.xml#L3263;39;1;30;Hvad ni slutade med, herr doktor, i edert nu yttrade tal, det;
prot-1893--ak--36;24;https://betalab.kb.se/prot-1893--ak--36/prot_1893__ak__36-024.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1893/prot-1893--ak--36.xml#L2115;47;1;25;"samma vara det bästa, som kunnat åstadkommas; men det kan ju";
prot-1893--ak--36;24;https://betalab.kb.se/prot-1893--ak--36/prot_1893__ak__36-024.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1893/prot-1893--ak--36.xml#L2115;47;1;28;Nu säger den siste talaren, att de ifrågavarande gatorna äro;
prot-1893--ak--36;24;https://betalab.kb.se/prot-1893--ak--36/prot_1893__ak__36-024.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1893/prot-1893--ak--36.xml#L2115;47;1;37;ordnande, betala hvarje tumsbredd jord vid Strandvägen. Detta pre-;
prot-1893--fk--35;46;https://betalab.kb.se/prot-1893--fk--35/prot_1893__fk__35-046.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1893/prot-1893--fk--35.xml#L3174;47;1;22;kammaren intog år 1891, får jag herr talman, yrka afslag å det;
prot-1893--fk--35;46;https://betalab.kb.se/prot-1893--fk--35/prot_1893__fk__35-046.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1893/prot-1893--fk--35.xml#L3174;47;1;23;kammaren intog år 1891, får jag, herr talman, yrka afslag å det ;
prot-1893--fk--35;46;https://betalab.kb.se/prot-1893--fk--35/prot_1893__fk__35-046.jp2/_view;https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1893/prot-1893--fk--35.xml#L3174;47;1;29;söker genom sitt åtgörande vinna, att en nedsättning i persontaxan;
