pdf_url,docDate
https://pdf.swedeb.se/riksdagen-records-pdf/1867/prot-1867--ak--0128.pdf,1867-01-28
https://pdf.swedeb.se/riksdagen-records-pdf/1867/prot-1867--ak--0430.pdf,1867-04-30
https://pdf.swedeb.se/riksdagen-records-pdf/1867/prot-1867--ak--0516.pdf,1867-05-16
https://pdf.swedeb.se/riksdagen-records-pdf/1867/prot-1867--fk--0204.pdf,1867-02-04
https://pdf.swedeb.se/riksdagen-records-pdf/1867/prot-1867--fk--0228.pdf,1867-02-28
https://pdf.swedeb.se/riksdagen-records-pdf/1867/prot-1867--fk--0416.pdf,1867-04-16
https://pdf.swedeb.se/riksdagen-records-pdf/1868/prot-1868--ak--0203.pdf,1868-02-03
https://pdf.swedeb.se/riksdagen-records-pdf/1868/prot-1868--ak--0401.pdf,1868-04-01
https://pdf.swedeb.se/riksdagen-records-pdf/1868/prot-1868--ak--0420.pdf,1868-04-20
https://pdf.swedeb.se/riksdagen-records-pdf/1868/prot-1868--fk--0401.pdf,1868-04-01
https://pdf.swedeb.se/riksdagen-records-pdf/1868/prot-1868--fk--0423.pdf,1868-04-23
https://pdf.swedeb.se/riksdagen-records-pdf/1868/prot-1868--fk--0509.pdf,1868-05-09
https://pdf.swedeb.se/riksdagen-records-pdf/1869/prot-1869--ak--0310.pdf,1869-03-10
https://pdf.swedeb.se/riksdagen-records-pdf/1869/prot-1869--ak--0414.pdf,1869-04-14
https://pdf.swedeb.se/riksdagen-records-pdf/1869/prot-1869--ak--0420.pdf,1869-04-20
https://pdf.swedeb.se/riksdagen-records-pdf/1869/prot-1869--fk--0312.pdf,1869-03-12
https://pdf.swedeb.se/riksdagen-records-pdf/1869/prot-1869--fk--0407.pdf,1869-04-07
https://pdf.swedeb.se/riksdagen-records-pdf/1869/prot-1869--fk--0507.pdf,1869-05-07
https://pdf.swedeb.se/riksdagen-records-pdf/1870/prot-1870--ak--0219.pdf,1870-02-19
https://pdf.swedeb.se/riksdagen-records-pdf/1870/prot-1870--ak--0305.pdf,1870-03-05
https://pdf.swedeb.se/riksdagen-records-pdf/1870/prot-1870--ak--0423.pdf,1870-04-23
https://pdf.swedeb.se/riksdagen-records-pdf/1870/prot-1870--fk--0126.pdf,1870-01-26
https://pdf.swedeb.se/riksdagen-records-pdf/1870/prot-1870--fk--0401.pdf,1870-04-01
https://pdf.swedeb.se/riksdagen-records-pdf/1870/prot-1870--fk--0514.pdf,1870-05-14
https://pdf.swedeb.se/riksdagen-records-pdf/1871/prot-1871--ak--0131.pdf,1871-01-31
https://pdf.swedeb.se/riksdagen-records-pdf/1871/prot-1871--ak--0309.pdf,1871-03-09
https://pdf.swedeb.se/riksdagen-records-pdf/1871/prot-1871--fk--0123.pdf,1871-01-23
https://pdf.swedeb.se/riksdagen-records-pdf/1871/prot-1871--fk--0420.pdf,1871-04-20
https://pdf.swedeb.se/riksdagen-records-pdf/1871/prot-1871-urtima-ak--0912.pdf,1871-09-12
https://pdf.swedeb.se/riksdagen-records-pdf/1871/prot-1871-urtima-fk--0916.pdf,1871-09-16
https://pdf.swedeb.se/riksdagen-records-pdf/1872/prot-1872--ak--0127.pdf,1872-01-27
https://pdf.swedeb.se/riksdagen-records-pdf/1872/prot-1872--ak--0312.pdf,1872-03-12
https://pdf.swedeb.se/riksdagen-records-pdf/1872/prot-1872--ak--0508.pdf,1872-05-08
https://pdf.swedeb.se/riksdagen-records-pdf/1872/prot-1872--fk--0221.pdf,1872-02-21
https://pdf.swedeb.se/riksdagen-records-pdf/1872/prot-1872--fk--0316.pdf,1872-03-16
https://pdf.swedeb.se/riksdagen-records-pdf/1872/prot-1872--fk--0320.pdf,1872-03-20
https://pdf.swedeb.se/riksdagen-records-pdf/1873/prot-1873--ak--0401.pdf,1873-04-01
https://pdf.swedeb.se/riksdagen-records-pdf/1873/prot-1873--ak--0515.pdf,1873-05-15
https://pdf.swedeb.se/riksdagen-records-pdf/1873/prot-1873--ak--0519.pdf,1873-05-19
https://pdf.swedeb.se/riksdagen-records-pdf/1873/prot-1873--fk--0122.pdf,1873-01-22
