pdf_url,docDate
https://pdf.swedeb.se/riksdagen-records-pdf/1867/prot-1867--ak--0510.pdf,1867-05-10
https://pdf.swedeb.se/riksdagen-records-pdf/1867/prot-1867--fk--0426.pdf,1867-04-26
https://pdf.swedeb.se/riksdagen-records-pdf/1868/prot-1868--ak--0313.pdf,1868-03-13
https://pdf.swedeb.se/riksdagen-records-pdf/1868/prot-1868--fk--0229.pdf,1868-02-29
https://pdf.swedeb.se/riksdagen-records-pdf/1869/prot-1869--ak--0310.pdf,1869-03-10
https://pdf.swedeb.se/riksdagen-records-pdf/1869/prot-1869--fk--0507.pdf,1869-05-07
https://pdf.swedeb.se/riksdagen-records-pdf/1870/prot-1870--ak--0504.pdf,1870-05-04
https://pdf.swedeb.se/riksdagen-records-pdf/1870/prot-1870--fk--0330.pdf,1870-03-30
https://pdf.swedeb.se/riksdagen-records-pdf/1871/prot-1871--ak--0512.pdf,1871-05-12
https://pdf.swedeb.se/riksdagen-records-pdf/1871/prot-1871--fk--0218.pdf,1871-02-18
https://pdf.swedeb.se/riksdagen-records-pdf/1872/prot-1872--ak--0207.pdf,1872-02-07
https://pdf.swedeb.se/riksdagen-records-pdf/1872/prot-1872--fk--0320.pdf,1872-03-20
https://pdf.swedeb.se/riksdagen-records-pdf/1873/prot-1873--ak--0322.pdf,1873-03-22
https://pdf.swedeb.se/riksdagen-records-pdf/1873/prot-1873--fk--0523.pdf,1873-05-23
https://pdf.swedeb.se/riksdagen-records-pdf/1874/prot-1874--ak--0411.pdf,1874-04-11
https://pdf.swedeb.se/riksdagen-records-pdf/1874/prot-1874--fk--0120.pdf,1874-01-20
https://pdf.swedeb.se/riksdagen-records-pdf/1875/prot-1875--ak--019.pdf,1875-03-13
https://pdf.swedeb.se/riksdagen-records-pdf/1875/prot-1875--fk--042.pdf,1875-05-18
https://pdf.swedeb.se/riksdagen-records-pdf/1876/prot-1876--ak--009.pdf,1876-02-19
https://pdf.swedeb.se/riksdagen-records-pdf/1876/prot-1876--fk--004.pdf,1876-02-05
https://pdf.swedeb.se/riksdagen-records-pdf/1876/prot-1876--fk--004.pdf,1876-02-09
https://pdf.swedeb.se/riksdagen-records-pdf/1876/prot-1876--fk--004.pdf,1876-02-12
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--024.pdf,1877-03-16
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--024.pdf,1877-03-17
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--ak--024.pdf,1877-03-20
https://pdf.swedeb.se/riksdagen-records-pdf/1877/prot-1877--fk--032.pdf,1877-04-28
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--ak--057.pdf,1878-05-11
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--fk--016.pdf,1878-03-11
https://pdf.swedeb.se/riksdagen-records-pdf/1878/prot-1878--fk--016.pdf,1878-03-13
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--ak--059.pdf,1879-05-11
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--ak--059.pdf,1879-05-12
https://pdf.swedeb.se/riksdagen-records-pdf/1879/prot-1879--fk--036.pdf,1879-05-06
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--ak--003.pdf,1880-01-21
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--ak--003.pdf,1880-01-23
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--ak--003.pdf,1880-01-24
https://pdf.swedeb.se/riksdagen-records-pdf/1880/prot-1880--fk--042.pdf,1880-05-10
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--ak--003.pdf,1881-01-26
https://pdf.swedeb.se/riksdagen-records-pdf/1881/prot-1881--fk--021.pdf,1881-03-19
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--ak--055.pdf,1882-05-11
https://pdf.swedeb.se/riksdagen-records-pdf/1882/prot-1882--fk--033.pdf,1882-04-27
https://pdf.swedeb.se/riksdagen-records-pdf/1883/prot-1883--ak--049.pdf,1883-05-21
https://pdf.swedeb.se/riksdagen-records-pdf/1883/prot-1883--fk--032.pdf,1883-05-05
https://pdf.swedeb.se/riksdagen-records-pdf/1884/prot-1884--ak--007.pdf,1884-02-08
https://pdf.swedeb.se/riksdagen-records-pdf/1884/prot-1884--ak--007.pdf,1884-02-09
https://pdf.swedeb.se/riksdagen-records-pdf/1884/prot-1884--fk--006.pdf,1884-02-12
https://pdf.swedeb.se/riksdagen-records-pdf/1884/prot-1884--fk--006.pdf,1884-02-13
https://pdf.swedeb.se/riksdagen-records-pdf/1885/prot-1885--ak--019.pdf,1885-03-06
https://pdf.swedeb.se/riksdagen-records-pdf/1885/prot-1885--ak--019.pdf,1885-03-07
https://pdf.swedeb.se/riksdagen-records-pdf/1885/prot-1885--fk--016.pdf,1885-03-14
https://pdf.swedeb.se/riksdagen-records-pdf/1886/prot-1886--ak--060.pdf,1886-05-15
https://pdf.swedeb.se/riksdagen-records-pdf/1886/prot-1886--ak--060.pdf,1886-05-16
https://pdf.swedeb.se/riksdagen-records-pdf/1886/prot-1886--ak--060.pdf,1886-05-17
