version,decade,correct,incorrect,accuracy,lower,upper
v99.99.99,1870,28,2,0.9333333333333333,0.8105355325744613,0.9730998803088509
v99.99.99,1880,28,2,0.9333333333333333,0.8105355325744613,0.9730998803088509
v99.99.99,1890,25,5,0.8333333333333334,0.690356484642353,0.9121855328567512
v99.99.99,1900,27,3,0.9,0.7684970248566316,0.9546998269773581
v99.99.99,1910,24,6,0.8,0.6533474562111927,0.8889112287407399
v99.99.99,1920,25,4,0.8620689655172413,0.7203848341065179,0.9319444264196155
v99.99.99,1930,26,4,0.8666666666666667,0.7286288184424853,0.9342195294539822
v99.99.99,1940,27,3,0.9,0.7684970248566316,0.9546998269773581
v99.99.99,1950,25,5,0.8333333333333334,0.690356484642353,0.9121855328567512
v99.99.99,1960,27,3,0.9,0.7684970248566316,0.9546998269773581
v99.99.99,1970,29,1,0.9666666666666667,0.8559096086816552,0.9884146841385564
v99.99.99,1980,21,5,0.8076923076923077,0.6493802093053329,0.8985150469964673
v99.99.99,1990,25,3,0.8928571428571429,0.7538609550439158,0.9514799228585709
v99.99.99,2000,27,4,0.8709677419354839,0.7364034023902557,0.9363472682486426
v99.99.99,2010,23,7,0.7666666666666667,0.6173897690830179,0.8645994152416211
v99.99.99,2020,22,7,0.7586206896551724,0.6060525774776367,0.8598149005322323
