version,year,correct,incorrect,accuracy,lower,upper
v99.99.99,1871,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1872,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1873,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1874,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1875,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1876,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1877,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1878,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1879,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1880,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1881,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1882,7,2,0.7777777777777778,0.4930986989367976,0.9127355660858497
v99.99.99,1883,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1884,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1885,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1886,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1887,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1888,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1889,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1890,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1891,1,2,0.3333333333333333,0.09761146288641434,0.7513953742698181
v99.99.99,1892,8,0,1.0,0.7168711644368865,0.9943169550119519
v99.99.99,1893,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,1894,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1895,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1896,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,1897,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1898,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1899,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,1900,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1901,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1902,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1903,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1904,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1905,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1906,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,1907,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1908,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1909,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1910,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1911,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1912,6,2,0.75,0.45035835049338985,0.9022531865607242
v99.99.99,1913,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1914,0,1,0.0,0.025320565519103607,0.776393202250021
v99.99.99,1916,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1917,3,1,0.75,0.3425916819988613,0.923559608587671
v99.99.99,1918,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1919,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1920,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1921,9,0,1.0,0.7411344491069477,0.9948838031081763
v99.99.99,1922,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1923,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1925,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,1926,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,1927,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1928,3,1,0.75,0.3425916819988613,0.923559608587671
v99.99.99,1929,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1930,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1931,3,1,0.75,0.3425916819988613,0.923559608587671
v99.99.99,1932,7,1,0.875,0.5708644529685656,0.9589768324930035
v99.99.99,1933,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1934,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1935,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1936,2,2,0.5,0.1892553774377708,0.8107446225622291
v99.99.99,1937,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1938,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1939,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1940,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1941,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1942,8,0,1.0,0.7168711644368865,0.9943169550119519
v99.99.99,1943,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1944,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1945,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1946,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1947,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1948,1,2,0.3333333333333333,0.09761146288641434,0.7513953742698181
v99.99.99,1949,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1950,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1951,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,1952,6,1,0.8571428571428571,0.5293205913988683,0.9536107360203888
v99.99.99,1953,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1954,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1955,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1956,0,1,0.0,0.025320565519103607,0.776393202250021
v99.99.99,1957,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1958,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,1959,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1960,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1961,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1962,6,1,0.8571428571428571,0.5293205913988683,0.9536107360203888
v99.99.99,1963,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1964,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1965,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1966,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,1967,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1968,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1969,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1970,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1971,0,0,,0.05,0.95
v99.99.99,1972,0,0,,0.05,0.95
v99.99.99,1973,0,0,,0.05,0.95
v99.99.99,1974,0,0,,0.05,0.95
v99.99.99,1975,0,0,,0.05,0.95
v99.99.99,1976,0,0,,0.05,0.95
v99.99.99,1977,0,0,,0.05,0.95
v99.99.99,1978,0,0,,0.05,0.95
v99.99.99,1979,0,0,,0.05,0.95
v99.99.99,1980,0,0,,0.05,0.95
v99.99.99,1981,0,0,,0.05,0.95
v99.99.99,1982,0,0,,0.05,0.95
v99.99.99,1983,0,0,,0.05,0.95
v99.99.99,1984,0,0,,0.05,0.95
v99.99.99,1985,0,0,,0.05,0.95
v99.99.99,1986,0,0,,0.05,0.95
v99.99.99,1987,0,0,,0.05,0.95
v99.99.99,1988,0,0,,0.05,0.95
v99.99.99,1989,0,0,,0.05,0.95
v99.99.99,1991,0,0,,0.05,0.95
v99.99.99,1994,7,2,0.7777777777777778,0.4930986989367976,0.9127355660858497
v99.99.99,1995,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1996,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1997,7,0,1.0,0.6876560219336321,0.993608849045455
v99.99.99,1998,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1999,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,2000,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,2001,7,1,0.875,0.5708644529685656,0.9589768324930035
v99.99.99,2002,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,2003,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,2004,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,2005,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,2006,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,2007,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,2008,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2009,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,2010,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,2011,7,2,0.7777777777777778,0.4930986989367976,0.9127355660858497
v99.99.99,2012,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,2013,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,2014,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,2015,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,2016,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,2017,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,2018,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,2019,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,2020,12,1,0.9230769230769231,0.7032657610511254,0.9740006673991322
v99.99.99,2021,3,2,0.6,0.2713383725197525,0.8468388820247768
v99.99.99,2022,7,4,0.6363636363636364,0.39086230177096337,0.818975242757679
