protocol_id	x	facs	github	NROWS	NCOLS	row_to_check	content	tricky	most_probable_line	lev
data/1870/prot-1870--ak--0307.xml	35	https://betalab.kb.se/prot-1870--ak--0307/prot_1870__ak__0307-035.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1870/prot-1870--ak--0307.xml#L2608	51	1	9	högst obetydlig trafik för banan och böra ej ega något inflytande på ba-		högst obetydlig trafik för banan och böra ej ega något inflytande på ban	1
data/1870/prot-1870--ak--0307.xml	35	https://betalab.kb.se/prot-1870--ak--0307/prot_1870__ak__0307-035.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1870/prot-1870--ak--0307.xml#L2608	51	1	14	nordvestra Westmanlands bergslag med närmaste Mälare-hamn samt Stock-		nordvestra westmanlands bergslag med närmaste mälare-hamn samt stockh	1
data/1870/prot-1870--ak--0307.xml	35	https://betalab.kb.se/prot-1870--ak--0307/prot_1870__ak__0307-035.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1870/prot-1870--ak--0307.xml#L2608	51	1	49	stora bruksdistrikt få på denna väg en ständig, året om oafbruten ut-		stora bruksdistrikt få på denna väg en ständig, året om oafbruten utf	1
data/1870/prot-1870--ak--0430.xml	58	https://betalab.kb.se/prot-1870--ak--0430/prot_1870__ak__0430-058.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1870/prot-1870--ak--0430.xml#L4407	48	1	16	hället, och om han ej skulle vara fullt så användbar i anfallskrig, så är		hället, och om han ej skulle vara fullt så användbar i anfallskrig, så är	0
data/1870/prot-1870--ak--0430.xml	58	https://betalab.kb.se/prot-1870--ak--0430/prot_1870__ak__0430-058.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1870/prot-1870--ak--0430.xml#L4407	48	1	29	synes mer än tvifvelaktigt, huruvida det skall kunna vara eller blifva möj-		synes mer än tvifvelaktigt, huruvida det skall kunna vara eller blifva möjl	1
data/1870/prot-1870--ak--0430.xml	58	https://betalab.kb.se/prot-1870--ak--0430/prot_1870__ak__0430-058.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1870/prot-1870--ak--0430.xml#L4407	48	1	38	hvad man begär hos Kongl. Maj:t ens är något möjligt; och då slutligen		hvad man begär hos kongl. maj:t ens är något möjligt; och då slutligen	0
data/1871/prot-1871--ak--0415.xml	11	https://betalab.kb.se/prot-1871--ak--0415/prot_1871__ak__0415-011.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0415.xml#L859	47	1	35	ett enda ställe, eller är det meningen att grunderna för tillämpningen		ett enda ställe, eller är det meningen att grunderna för tillämpningen	0
data/1871/prot-1871--ak--0415.xml	11	https://betalab.kb.se/prot-1871--ak--0415/prot_1871__ak__0415-011.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0415.xml#L859	47	1	39	detsamma till handlingarne.		detsamma till handlingarne.	0
data/1871/prot-1871--ak--0415.xml	11	https://betalab.kb.se/prot-1871--ak--0415/prot_1871__ak__0415-011.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0415.xml#L859	47	1	44	Kammaren, med ogillande af Utskottets uppfattning, ville låta vid Utskottets		kammaren, med ogillande af utskottets uppfattning, ville låta vid utskottets	0
data/1871/prot-1871--ak--0425.xml	39	https://betalab.kb.se/prot-1871--ak--0425/prot_1871__ak__0425-039.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0425.xml#L2865	50	1	2	Den siste talaren synes mig vara i sin uppfattning af denna fråga		den siste talaren synes mig vara i sin uppfattning af denna fråga	0
data/1871/prot-1871--ak--0425.xml	39	https://betalab.kb.se/prot-1871--ak--0425/prot_1871__ak__0425-039.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0425.xml#L2865	50	1	26	en sådan likställighet är underkastad praktiska svårigheter, men jag för-		en sådan likställighet är underkastad praktiska svårigheter, men jag förm	1
data/1871/prot-1871--ak--0425.xml	39	https://betalab.kb.se/prot-1871--ak--0425/prot_1871__ak__0425-039.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0425.xml#L2865	50	1	45	norska allmänna kriminal-lagen som vår strafflag i allmänhet stadgar an-		norska allmänna kriminal-lagen som vår strafflag i allmänhet stadgar ans	1
data/1871/prot-1871--ak--0513.xml	17	https://betalab.kb.se/prot-1871--ak--0513/prot_1871__ak__0513-017.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0513.xml#L1356	47	1	12	Utskottets hemställan och skulle bifallit ett ännu större anslag för ifråga-		utskottets hemställan och skulle bifallit ett ännu större anslag för ifrågav	1
data/1871/prot-1871--ak--0513.xml	17	https://betalab.kb.se/prot-1871--ak--0513/prot_1871__ak__0513-017.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0513.xml#L1356	47	1	29	lugna mig i afseende på frågan om skyddstält, ber jag få erinra att, så		lugna mig i afseende på frågan om skyddstält, ber jag få erinra att, så	0
