prot	annotation	NROWS	NCOLS	row_to_check	most_probable_line	lev
data/1930/prot-1930--ak--018.xml	Vad av länet tillkommande skattemedel ej åtgår till beviljade bidrag skall	50	1	16	 Vad av länet tillkommande skattemedel ej åtgår till beviljade bidrag skall	0
data/1930/prot-1930--ak--018.xml	Punkten föredrogs. Därvid yttrade:	50	1	29	 Punkten föredrogs. Därvid yttrade:	0
data/1930/prot-1930--ak--018.xml	rör inte heller på något sätt städerna, då städernas andelar icke alls skulle	50	1	50	berör inte heller på något sätt städerna, då städernas andelar icke alls skull	3
data/1930/prot-1930--ak--004.xml	avgivit ett uttalande i tidningspressen, vari han förklarar följande: »Från många	55	1	15	 avgivit ett uttalande i tidningspressen, vari han förklarar följande: »Från många	0
data/1930/prot-1930--ak--004.xml	skingra. Vad svarar nu herr statsrådet? Jo, han menar, att allt detta skall	55	1	28	 skingra. Vad svarar nu herr statsrådet? Jo, han menar, att allt detta skall	0
data/1930/prot-1930--ak--004.xml	det gäller katekesen, har man där att göra med stycken och minnesord dels av	55	1	45	 det gäller katekesen, har man där att göra med stycken och minnesord dels av	0
data/1931/prot-1931--ak--016.xml	tare arbetstid och då böra även landstingens sjukvårdsanstalter gå fram på	54	1	27	tare arbetstid och då böra även landstingens sjukvårdsanstalter gå fram på 	0
data/1931/prot-1931--ak--016.xml	fallet, blir följden givetvis en automatisk skattestegnring i landstingen. Den-	54	1	42	 fallet, blir följden givetvis en automatisk skattestegring i landstingen. Denna	3
data/1931/prot-1931--ak--016.xml	inte skatteunderlaget ökas, undgå en fortsatt skatteökning. Det är då ganska	54	1	46	 inte skatteunderlaget ökas, undgå en fortsatt skatteökning. Det är då ganska	0
data/1931/prot-1931--ak--027.xml	bruksändamål. Att en sådan uppdelning varit synnerligen väl motiverad,	53	1	4	 bruksändamål. Att en sådan uppdelning varit synnerligen väl motiverad,	0
data/1931/prot-1931--ak--027.xml	Att elektrifieringen inom distributionsföreningarna så småningom kommit att	53	1	25	 Att elektrifieringen inom distributionsföreningarna så småningom kommit att	0
data/1931/prot-1931--ak--027.xml	böra således bibehållas under sådan rubrik, att av denna framgår, att de	53	1	39	 böra således bibehållas under sådan rubrik, att av denna framgår, att de	0
data/1931/prot-1931--ak--036.xml	Nr 36. 118 Onsdagen den 13 maj e. m.	54	1	1	ngångs- 118 Onsdagen den 13 maj e. m.	6
data/1931/prot-1931--ak--036.xml	slagets användning utöver en viss nödvändig marginal. Jag har tillåtit mig	54	1	38	slagets användning utöver en viss nödvändig marginal. Jag har tillåtit mig 	0
data/1931/prot-1931--ak--036.xml	begränsade till en enda man, ty uppenbart måste förhållandena, sådana de	54	1	40	 begränsade till en enda man, ty uppenbart måste förhållandena, sådana de	0
data/1931/prot-1931--fk--038.xml	kande, som kunde ha vunnit pluralitet. Men de föreslagna organisatoriska	55	1	2	 kande, som kunde ha vunnit pluralitet. Men de föreslagna organisatoriska	0
data/1931/prot-1931--fk--038.xml	Vi skulle emellertid ha 700 sådana nämnder i landet. Men 700 nämnder	55	1	38	 Vi skulle emellertid ha 700 sådana nämnder i landet. Men 700 nämnder	0
data/1931/prot-1931--fk--038.xml	På samma sätt vill jag säga, att det är med skyddskollegierna. Att inrätta	55	1	53	 På samma sätt vill jag säga, att det är med skyddskollegierna. Att inrätta	0
data/1932/prot-1932--ak--042.xml	Man anmärker på att denna kredit beviljades, trots att koncernen beslutat	55	1	2	 Man anmärker på att denna kredit beviljades, trots att koncernen beslutat	0
data/1932/prot-1932--ak--042.xml	att herr Lindman är främmande för en sådan företeelse inom affärsverksam-	55	1	7	 att herr Lindman är främmande för en sådan företeelse inom affärsverksamh	1
