version,year,gold,fp,fn,precision,recall,f1,jaccard
v99.99.99,1867,8,6,0,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714
v99.99.99,1868,8,5,0,0.6153846153846154,1.0,0.761904761904762,0.6153846153846154
v99.99.99,1869,8,5,0,0.6153846153846154,1.0,0.761904761904762,0.6153846153846154
v99.99.99,1870,8,7,0,0.5333333333333333,1.0,0.6956521739130436,0.5333333333333333
v99.99.99,1871,8,7,0,0.5333333333333333,1.0,0.6956521739130436,0.5333333333333333
v99.99.99,1872,8,4,0,0.6666666666666666,1.0,0.8,0.6666666666666666
v99.99.99,1873,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.7272727272727273
v99.99.99,1874,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888
v99.99.99,1875,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888
v99.99.99,1876,13,2,0,0.8666666666666667,1.0,0.9285714285714286,0.8666666666666667
v99.99.99,1877,19,3,0,0.8636363636363636,1.0,0.9268292682926829,0.8636363636363636
v99.99.99,1878,13,0,0,1.0,1.0,1.0,1.0
v99.99.99,1879,10,2,1,0.8181818181818182,0.9,0.8571428571428572,0.75
v99.99.99,1880,13,3,0,0.8125,1.0,0.896551724137931,0.8125
v99.99.99,1881,18,2,0,0.9,1.0,0.9473684210526316,0.9
v99.99.99,1882,10,5,0,0.6666666666666666,1.0,0.8,0.6666666666666666
v99.99.99,1883,9,2,0,0.8181818181818182,1.0,0.9,0.8181818181818182
v99.99.99,1884,14,2,0,0.875,1.0,0.9333333333333333,0.875
v99.99.99,1885,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333
v99.99.99,1886,17,1,0,0.9444444444444444,1.0,0.9714285714285714,0.9444444444444444
v99.99.99,1887,20,2,0,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909091
v99.99.99,1888,12,4,2,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.625
v99.99.99,1889,16,4,0,0.8,1.0,0.888888888888889,0.8
v99.99.99,1890,9,7,0,0.5625,1.0,0.72,0.5625
v99.99.99,1891,14,4,0,0.7777777777777778,1.0,0.8750000000000001,0.7777777777777778
v99.99.99,1892,18,3,0,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571
v99.99.99,1893,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286
v99.99.99,1894,12,3,0,0.8,1.0,0.888888888888889,0.8
v99.99.99,1895,19,7,0,0.7307692307692307,1.0,0.8444444444444443,0.7307692307692307
v99.99.99,1896,22,5,0,0.8148148148148148,1.0,0.8979591836734693,0.8148148148148148
v99.99.99,1897,24,1,0,0.96,1.0,0.9795918367346939,0.96
v99.99.99,1898,15,2,0,0.8823529411764706,1.0,0.9375,0.8823529411764706
v99.99.99,1899,19,3,0,0.8636363636363636,1.0,0.9268292682926829,0.8636363636363636
v99.99.99,1900,16,3,0,0.8421052631578947,1.0,0.9142857142857143,0.8421052631578947
v99.99.99,1901,19,2,0,0.9047619047619048,1.0,0.9500000000000001,0.9047619047619048
v99.99.99,1902,13,3,0,0.8125,1.0,0.896551724137931,0.8125
v99.99.99,1903,10,4,0,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143
v99.99.99,1904,9,1,0,0.9,1.0,0.9473684210526316,0.9
v99.99.99,1905,10,5,0,0.6666666666666666,1.0,0.8,0.6666666666666666
v99.99.99,1906,12,3,0,0.8,1.0,0.888888888888889,0.8
v99.99.99,1907,11,1,0,0.9166666666666666,1.0,0.9565217391304348,0.9166666666666666
v99.99.99,1908,8,4,0,0.6666666666666666,1.0,0.8,0.6666666666666666
v99.99.99,1909,22,2,0,0.9166666666666666,1.0,0.9565217391304348,0.9166666666666666
v99.99.99,1910,12,1,0,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769231
v99.99.99,1911,15,4,0,0.7894736842105263,1.0,0.8823529411764706,0.7894736842105263
v99.99.99,1912,13,2,0,0.8666666666666667,1.0,0.9285714285714286,0.8666666666666667
v99.99.99,1913,19,4,0,0.8260869565217391,1.0,0.9047619047619047,0.8260869565217391
v99.99.99,1914,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.7272727272727273
v99.99.99,1915,8,0,0,1.0,1.0,1.0,1.0
v99.99.99,1916,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.7272727272727273
v99.99.99,1917,12,3,0,0.8,1.0,0.888888888888889,0.8
v99.99.99,1918,11,3,0,0.7857142857142857,1.0,0.88,0.7857142857142857
v99.99.99,1919,20,4,0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334
v99.99.99,1920,13,1,0,0.9285714285714286,1.0,0.962962962962963,0.9285714285714286
v99.99.99,1921,16,3,0,0.8421052631578947,1.0,0.9142857142857143,0.8421052631578947
v99.99.99,1922,14,2,0,0.875,1.0,0.9333333333333333,0.875
v99.99.99,1923,15,4,0,0.7894736842105263,1.0,0.8823529411764706,0.7894736842105263
v99.99.99,1924,16,8,1,0.6521739130434783,0.9375,0.7692307692307693,0.625
v99.99.99,1925,20,5,0,0.8,1.0,0.888888888888889,0.8
v99.99.99,1926,13,3,0,0.8125,1.0,0.896551724137931,0.8125
v99.99.99,1927,15,1,0,0.9375,1.0,0.967741935483871,0.9375
v99.99.99,1928,13,5,0,0.7222222222222222,1.0,0.8387096774193548,0.7222222222222222
v99.99.99,1929,16,1,0,0.9411764705882353,1.0,0.9696969696969697,0.9411764705882353
v99.99.99,1930,14,4,0,0.7777777777777778,1.0,0.8750000000000001,0.7777777777777778
v99.99.99,1931,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333
v99.99.99,1932,10,3,0,0.7692307692307693,1.0,0.8695652173913044,0.7692307692307693
v99.99.99,1933,15,5,0,0.75,1.0,0.8571428571428571,0.75
v99.99.99,1934,16,1,0,0.9411764705882353,1.0,0.9696969696969697,0.9411764705882353
v99.99.99,1935,15,7,0,0.6818181818181818,1.0,0.8108108108108109,0.6818181818181818
v99.99.99,1936,13,3,0,0.8125,1.0,0.896551724137931,0.8125
v99.99.99,1937,13,0,0,1.0,1.0,1.0,1.0
v99.99.99,1938,15,1,0,0.9375,1.0,0.967741935483871,0.9375
v99.99.99,1939,17,0,0,1.0,1.0,1.0,1.0
v99.99.99,1940,15,0,0,1.0,1.0,1.0,1.0
v99.99.99,1941,21,1,0,0.9545454545454546,1.0,0.9767441860465117,0.9545454545454546
v99.99.99,1942,20,1,0,0.9523809523809523,1.0,0.975609756097561,0.9523809523809523
v99.99.99,1943,24,0,0,1.0,1.0,1.0,1.0
v99.99.99,1944,21,0,0,1.0,1.0,1.0,1.0
v99.99.99,1945,22,0,0,1.0,1.0,1.0,1.0
v99.99.99,1946,23,0,0,1.0,1.0,1.0,1.0
v99.99.99,1947,18,0,0,1.0,1.0,1.0,1.0
v99.99.99,1948,22,1,0,0.9565217391304348,1.0,0.9777777777777777,0.9565217391304348
v99.99.99,1949,22,0,0,1.0,1.0,1.0,1.0
v99.99.99,1950,26,1,0,0.9629629629629629,1.0,0.9811320754716981,0.9629629629629629
v99.99.99,1951,23,2,1,0.9166666666666666,0.9565217391304348,0.9361702127659574,0.88
v99.99.99,1952,24,1,0,0.96,1.0,0.9795918367346939,0.96
v99.99.99,1953,24,2,0,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769231
v99.99.99,1954,23,1,0,0.9583333333333334,1.0,0.9787234042553191,0.9583333333333334
v99.99.99,1955,24,1,0,0.96,1.0,0.9795918367346939,0.96
v99.99.99,1956,22,0,0,1.0,1.0,1.0,1.0
v99.99.99,1957,21,0,0,1.0,1.0,1.0,1.0
v99.99.99,1958,23,3,0,0.8846153846153846,1.0,0.9387755102040816,0.8846153846153846
v99.99.99,1959,24,0,0,1.0,1.0,1.0,1.0
v99.99.99,1960,22,0,0,1.0,1.0,1.0,1.0
v99.99.99,1961,18,1,0,0.9473684210526315,1.0,0.972972972972973,0.9473684210526315
v99.99.99,1962,21,1,0,0.9545454545454546,1.0,0.9767441860465117,0.9545454545454546
v99.99.99,1963,20,1,0,0.9523809523809523,1.0,0.975609756097561,0.9523809523809523
v99.99.99,1964,20,0,0,1.0,1.0,1.0,1.0
v99.99.99,1965,15,2,0,0.8823529411764706,1.0,0.9375,0.8823529411764706
v99.99.99,1966,19,2,0,0.9047619047619048,1.0,0.9500000000000001,0.9047619047619048
v99.99.99,1967,18,3,0,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571
v99.99.99,1968,16,1,0,0.9411764705882353,1.0,0.9696969696969697,0.9411764705882353
v99.99.99,1969,20,1,0,0.9523809523809523,1.0,0.975609756097561,0.9523809523809523
v99.99.99,1970,21,3,0,0.875,1.0,0.9333333333333333,0.875
v99.99.99,1971,4,4,0,0.5,1.0,0.6666666666666666,0.5
v99.99.99,1972,4,8,0,0.3333333333333333,1.0,0.5,0.3333333333333333
v99.99.99,1973,4,3,0,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714
v99.99.99,1974,4,7,0,0.36363636363636365,1.0,0.5333333333333333,0.36363636363636365
v99.99.99,1975,8,12,0,0.4,1.0,0.5714285714285715,0.4
v99.99.99,1976,4,4,0,0.5,1.0,0.6666666666666666,0.5
v99.99.99,1977,4,2,0,0.6666666666666666,1.0,0.8,0.6666666666666666
v99.99.99,1978,4,7,0,0.36363636363636365,1.0,0.5333333333333333,0.36363636363636365
v99.99.99,1979,4,8,0,0.3333333333333333,1.0,0.5,0.3333333333333333
v99.99.99,1980,9,11,0,0.45,1.0,0.6206896551724138,0.45
v99.99.99,1981,4,8,0,0.3333333333333333,1.0,0.5,0.3333333333333333
v99.99.99,1982,4,12,0,0.25,1.0,0.4,0.25
v99.99.99,1983,4,4,0,0.5,1.0,0.6666666666666666,0.5
v99.99.99,1984,4,4,0,0.5,1.0,0.6666666666666666,0.5
v99.99.99,1985,4,6,0,0.4,1.0,0.5714285714285715,0.4
v99.99.99,1986,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.26666666666666666
v99.99.99,1987,4,7,0,0.36363636363636365,1.0,0.5333333333333333,0.36363636363636365
v99.99.99,1988,4,3,0,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714
v99.99.99,1989,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1990,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1991,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1992,4,1,1,0.75,0.75,0.75,0.6
v99.99.99,1993,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1994,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1995,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1996,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1997,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1998,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,1999,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2000,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2001,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2002,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2003,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2004,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2005,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2006,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2007,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2008,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2009,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2010,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2011,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2012,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2013,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2014,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2015,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2016,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2017,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2018,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2019,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2020,4,0,0,1.0,1.0,1.0,1.0
v99.99.99,2021,4,0,0,1.0,1.0,1.0,1.0
