version,year,avg_jaccard,accuracy,coverage
v99.99.99,1867,0.71875,0.5,1.0
v99.99.99,1974,0.3055555555555555,0.0,1.0
v99.99.99,1967,0.8541666666666666,0.625,1.0
v99.99.99,1968,0.9583333333333334,0.875,1.0
v99.99.99,1969,0.975,0.875,1.0
v99.99.99,1970,0.9125,0.75,1.0
v99.99.99,1971,0.5833333333333334,0.25,1.0
v99.99.99,1972,0.41666666666666663,0.0,1.0
v99.99.99,1973,0.625,0.25,1.0
v99.99.99,1975,0.5666666666666667,0.375,1.0
v99.99.99,1965,0.8958333333333333,0.75,1.0
v99.99.99,1976,0.6666666666666666,0.5,1.0
v99.99.99,1977,0.8333333333333334,0.75,1.0
v99.99.99,1978,0.6125,0.5,1.0
v99.99.99,1979,0.3833333333333333,0.0,1.0
v99.99.99,1980,0.6047619047619047,0.42857142857142855,1.0
v99.99.99,1981,0.4875,0.25,1.0
v99.99.99,1982,0.45625,0.25,1.0
v99.99.99,1966,0.9166666666666666,0.75,1.0
v99.99.99,1964,1.0,1.0,1.0
v99.99.99,1868,0.7291666666666666,0.5,1.0
v99.99.99,1954,0.9375,0.875,1.0
v99.99.99,1947,1.0,1.0,1.0
v99.99.99,1948,0.9583333333333333,0.875,1.0
v99.99.99,1949,1.0,1.0,1.0
v99.99.99,1950,0.96875,0.875,1.0
v99.99.99,1951,0.8958333333333334,0.625,0.875
v99.99.99,1952,0.9375,0.875,1.0
v99.99.99,1953,0.9375,0.75,1.0
v99.99.99,1955,0.96875,0.875,1.0
v99.99.99,1963,0.975,0.875,1.0
v99.99.99,1956,1.0,1.0,1.0
v99.99.99,1957,1.0,1.0,1.0
v99.99.99,1958,0.9375,0.875,1.0
v99.99.99,1959,1.0,1.0,1.0
v99.99.99,1960,1.0,1.0,1.0
v99.99.99,1961,0.975,0.875,1.0
v99.99.99,1962,0.9583333333333334,0.875,1.0
v99.99.99,1983,0.8,0.75,1.0
v99.99.99,1984,0.6875,0.5,1.0
v99.99.99,1985,0.625,0.5,1.0
v99.99.99,2013,1.0,1.0,1.0
v99.99.99,2006,1.0,1.0,1.0
v99.99.99,2007,1.0,1.0,1.0
v99.99.99,2008,1.0,1.0,1.0
v99.99.99,2009,1.0,1.0,1.0
v99.99.99,2010,1.0,1.0,1.0
v99.99.99,2011,1.0,1.0,1.0
v99.99.99,2012,1.0,1.0,1.0
v99.99.99,2014,1.0,1.0,1.0
v99.99.99,1986,0.425,0.25,1.0
v99.99.99,2015,1.0,1.0,1.0
v99.99.99,2016,1.0,1.0,1.0
v99.99.99,2017,1.0,1.0,1.0
v99.99.99,2018,1.0,1.0,1.0
v99.99.99,2019,1.0,1.0,1.0
v99.99.99,2020,1.0,1.0,1.0
v99.99.99,2021,1.0,1.0,1.0
v99.99.99,2005,1.0,1.0,1.0
v99.99.99,2004,1.0,1.0,1.0
v99.99.99,2003,1.0,1.0,1.0
v99.99.99,2002,1.0,1.0,1.0
v99.99.99,1987,0.5416666666666666,0.25,1.0
v99.99.99,1988,0.7083333333333333,0.5,1.0
v99.99.99,1989,1.0,1.0,1.0
v99.99.99,1990,1.0,1.0,1.0
v99.99.99,1991,1.0,1.0,1.0
v99.99.99,1992,0.75,0.75,0.75
v99.99.99,1993,1.0,1.0,1.0
v99.99.99,1994,1.0,1.0,1.0
v99.99.99,1995,1.0,1.0,1.0
v99.99.99,1996,1.0,1.0,1.0
v99.99.99,1997,1.0,1.0,1.0
v99.99.99,1998,1.0,1.0,1.0
v99.99.99,1999,1.0,1.0,1.0
v99.99.99,2000,1.0,1.0,1.0
v99.99.99,2001,1.0,1.0,1.0
v99.99.99,1946,1.0,1.0,1.0
v99.99.99,1945,1.0,1.0,1.0
v99.99.99,1944,1.0,1.0,1.0
v99.99.99,1895,0.7729166666666667,0.5,1.0
v99.99.99,1888,0.8020833333333333,0.625,0.875
v99.99.99,1889,0.84375,0.625,1.0
v99.99.99,1890,0.8303571428571429,0.75,1.0
v99.99.99,1891,0.8541666666666666,0.75,1.0
v99.99.99,1892,0.8645833333333334,0.625,1.0
v99.99.99,1893,0.9375,0.875,1.0
v99.99.99,1894,0.8875,0.75,1.0
v99.99.99,1896,0.8115646258503402,0.42857142857142855,1.0
v99.99.99,1905,0.8229166666666667,0.75,1.0
v99.99.99,1897,0.9791666666666667,0.875,1.0
v99.99.99,1898,0.95,0.875,1.0
v99.99.99,1899,0.8523809523809524,0.5714285714285714,1.0
v99.99.99,1900,0.875,0.75,1.0
v99.99.99,1901,0.8958333333333333,0.75,1.0
v99.99.99,1902,0.8125,0.625,1.0
v99.99.99,1903,0.7708333333333333,0.5,1.0
v99.99.99,1887,0.90625,0.75,1.0
v99.99.99,1886,0.9583333333333334,0.875,1.0
v99.99.99,1885,0.9285714285714286,0.8571428571428571,1.0
v99.99.99,1884,0.9166666666666666,0.75,1.0
v99.99.99,1869,0.7083333333333334,0.5,1.0
v99.99.99,1870,0.6875,0.5,1.0
v99.99.99,1871,0.6041666666666667,0.25,1.0
v99.99.99,1872,0.7619047619047619,0.5714285714285714,1.0
v99.99.99,1873,0.8125,0.625,1.0
v99.99.99,1874,0.9375,0.875,1.0
v99.99.99,1875,0.9375,0.875,1.0
v99.99.99,1876,0.8571428571428571,0.7142857142857143,1.0
v99.99.99,1877,0.8333333333333333,0.7142857142857143,1.0
v99.99.99,1878,1.0,1.0,1.0
v99.99.99,1879,0.7857142857142857,0.5714285714285714,0.8571428571428571
v99.99.99,1880,0.8645833333333333,0.625,1.0
v99.99.99,1881,0.96875,0.875,1.0
v99.99.99,1882,0.8416666666666667,0.75,1.0
v99.99.99,1883,0.875,0.75,1.0
v99.99.99,1904,0.9285714285714286,0.8571428571428571,1.0
v99.99.99,1906,0.8125,0.625,1.0
v99.99.99,1943,1.0,1.0,1.0
v99.99.99,1934,0.9285714285714286,0.8571428571428571,1.0
v99.99.99,1927,0.9375,0.875,1.0
v99.99.99,1928,0.8020833333333334,0.625,1.0
v99.99.99,1929,0.96875,0.875,1.0
v99.99.99,1930,0.8645833333333333,0.625,1.0
v99.99.99,1931,0.96875,0.875,1.0
v99.99.99,1932,0.8095238095238094,0.5714285714285714,1.0
v99.99.99,1933,0.7916666666666666,0.5,1.0
v99.99.99,1935,0.7395833333333334,0.375,1.0
v99.99.99,1907,0.9583333333333334,0.875,1.0
v99.99.99,1936,0.875,0.625,1.0
v99.99.99,1937,1.0,1.0,1.0
v99.99.99,1938,0.96875,0.875,1.0
v99.99.99,1939,1.0,1.0,1.0
v99.99.99,1940,1.0,1.0,1.0
v99.99.99,1941,0.9285714285714286,0.8571428571428571,1.0
v99.99.99,1942,0.96875,0.875,1.0
v99.99.99,1926,0.875,0.75,1.0
v99.99.99,1925,0.8520833333333333,0.625,1.0
v99.99.99,1924,0.6354166666666666,0.125,0.875
v99.99.99,1923,0.8125,0.5,1.0
v99.99.99,1908,0.7916666666666667,0.625,1.0
v99.99.99,1909,0.9270833333333333,0.75,1.0
v99.99.99,1910,0.9583333333333334,0.875,1.0
v99.99.99,1911,0.84375,0.625,1.0
v99.99.99,1912,0.8958333333333334,0.75,1.0
v99.99.99,1913,0.9047619047619048,0.75,1.0
v99.99.99,1914,0.8541666666666666,0.75,1.0
