decade,correct,incorrect,lower,upper,accuracy
1860,15,3,0.6405743503596268,0.9247061834311243,0.8333333333333334
1870,46,9,0.7363024194362426,0.8997903953729192,0.8365384615384616
1880,43,10,0.7061537660732554,0.8813526213479055,0.8113207547169812
1890,48,7,0.7779994477490975,0.9268814301249213,0.8796296296296297
1900,48,4,0.8355581778886993,0.9620872536747852,0.92
1910,54,1,0.9180678404706685,0.9936172560657962,0.9814814814814815
1920,48,2,0.8816509009605357,0.9837765845054616,0.9591836734693877
1930,47,1,0.9068075285657988,0.9926993035281501,0.9893617021276596
1940,53,2,0.8918106418529096,0.9852409082125633,0.9629629629629629
1950,55,1,0.9194582039369227,0.9937298800251189,0.9821428571428571
1960,52,3,0.8673216786978688,0.9752350281213057,0.9454545454545454
1970,30,0,0.9078859400526763,0.998346745733359,1.0
1980,26,3,0.761402142706749,0.9531451730853993,0.896551724137931
1990,29,0,0.9049661471446958,0.9982916843555343,1.0
2000,30,0,0.9078859400526763,0.998346745733359,1.0
2010,30,0,0.9078859400526763,0.998346745733359,1.0
2020,6,0,0.6518363448688391,0.9926991680209853,1.0
