year,correct,incorrect,accuracy,lower,upper
1867,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1868,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1869,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1870,6,0,1.0,0.6518363448688391,0.9926991680209853
1871,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1872,6,0,1.0,0.6518363448688391,0.9926991680209853
1873,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1874,2,4,0.3333333333333333,0.1287563928042427,0.658738563844664
1875,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1876,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1877,5,0,1.0,0.6069622310029172,0.9914875553891529
1878,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1879,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1880,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1881,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1882,5,0,1.0,0.6069622310029172,0.9914875553891529
1883,6,0,1.0,0.6518363448688391,0.9926991680209853
1884,6,0,1.0,0.6518363448688391,0.9926991680209853
1885,3,2,0.6,0.2713383725197525,0.8468388820247768
1886,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1887,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1888,1,3,0.25,0.07644039141232889,0.6574083180011386
1889,4,1,0.8,0.4181965907479741,0.9371501082916456
1890,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1891,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1892,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1893,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1894,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1895,6,0,1.0,0.6518363448688391,0.9926991680209853
1896,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1897,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1898,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1899,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1900,6,0,1.0,0.6518363448688391,0.9926991680209853
1901,6,0,1.0,0.6518363448688391,0.9926991680209853
1902,5,0,1.0,0.6069622310029172,0.9914875553891529
1903,5,0,1.0,0.6069622310029172,0.9914875553891529
1904,4,1,0.8,0.4181965907479741,0.9371501082916456
1905,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1906,6,0,1.0,0.6518363448688391,0.9926991680209853
1907,5,0,1.0,0.6069622310029172,0.9914875553891529
1908,2,2,0.5,0.1892553774377708,0.8107446225622291
1909,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1910,6,0,1.0,0.6518363448688391,0.9926991680209853
1911,6,0,1.0,0.6518363448688391,0.9926991680209853
1912,6,0,1.0,0.6518363448688391,0.9926991680209853
1913,6,0,1.0,0.6518363448688391,0.9926991680209853
1914,4,1,0.8,0.4181965907479741,0.9371501082916456
1915,5,0,1.0,0.6069622310029172,0.9914875553891529
1916,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1917,5,0,1.0,0.6069622310029172,0.9914875553891529
1918,6,0,1.0,0.6518363448688391,0.9926991680209853
1919,5,0,1.0,0.6069622310029172,0.9914875553891529
1920,4,0,1.0,0.5492802716530588,0.9897937816869885
1921,4,0,1.0,0.5492802716530588,0.9897937816869885
1922,4,1,0.8,0.4181965907479741,0.9371501082916456
1923,6,0,1.0,0.6518363448688391,0.9926991680209853
1924,4,1,0.8,0.4181965907479741,0.9371501082916456
1925,6,0,1.0,0.6518363448688391,0.9926991680209853
1926,6,0,1.0,0.6518363448688391,0.9926991680209853
1927,6,0,1.0,0.6518363448688391,0.9926991680209853
1928,3,0,1.0,0.4728708045015879,0.9872585449014338
1929,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1930,5,0,1.0,0.6069622310029172,0.9914875553891529
1931,4,0,1.0,0.5492802716530588,0.9897937816869885
1932,6,0,1.0,0.6518363448688391,0.9926991680209853
1933,3,1,0.75,0.3425916819988613,0.923559608587671
1934,6,0,1.0,0.6518363448688391,0.9926991680209853
1935,6,0,1.0,0.6518363448688391,0.9926991680209853
1936,4,1,0.8,0.4181965907479741,0.9371501082916456
1937,4,1,0.8,0.4181965907479741,0.9371501082916456
1938,4,0,1.0,0.5492802716530588,0.9897937816869885
1939,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1940,6,0,1.0,0.6518363448688391,0.9926991680209853
1941,6,0,1.0,0.6518363448688391,0.9926991680209853
1942,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1943,6,0,1.0,0.6518363448688391,0.9926991680209853
1944,6,0,1.0,0.6518363448688391,0.9926991680209853
1945,4,1,0.8,0.4181965907479741,0.9371501082916456
1946,6,0,1.0,0.6518363448688391,0.9926991680209853
1947,5,0,1.0,0.6069622310029172,0.9914875553891529
1948,5,0,1.0,0.6069622310029172,0.9914875553891529
1949,5,0,1.0,0.6069622310029172,0.9914875553891529
1950,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1951,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1952,6,0,1.0,0.6518363448688391,0.9926991680209853
1953,6,0,1.0,0.6518363448688391,0.9926991680209853
1954,6,0,1.0,0.6518363448688391,0.9926991680209853
1955,6,0,1.0,0.6518363448688391,0.9926991680209853
1956,6,0,1.0,0.6518363448688391,0.9926991680209853
1957,6,0,1.0,0.6518363448688391,0.9926991680209853
1958,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1959,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1960,5,0,1.0,0.6069622310029172,0.9914875553891529
1961,6,0,1.0,0.6518363448688391,0.9926991680209853
1962,6,0,1.0,0.6518363448688391,0.9926991680209853
1963,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1964,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
1965,5,0,1.0,0.6069622310029172,0.9914875553891529
1966,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1967,6,0,1.0,0.6518363448688391,0.9926991680209853
1968,5,0,1.0,0.6069622310029172,0.9914875553891529
1969,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
1970,4,0,1.0,0.5492802716530588,0.9897937816869885
1971,3,0,1.0,0.4728708045015879,0.9872585449014338
1972,3,0,1.0,0.4728708045015879,0.9872585449014338
1973,3,0,1.0,0.4728708045015879,0.9872585449014338
1974,3,0,1.0,0.4728708045015879,0.9872585449014338
1975,3,0,1.0,0.4728708045015879,0.9872585449014338
1976,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
1977,3,0,1.0,0.4728708045015879,0.9872585449014338
1978,3,0,1.0,0.4728708045015879,0.9872585449014338
1979,3,0,1.0,0.4728708045015879,0.9872585449014338
1980,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
1981,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
1982,3,0,1.0,0.4728708045015879,0.9872585449014338
1983,3,0,1.0,0.4728708045015879,0.9872585449014338
1984,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
1985,3,0,1.0,0.4728708045015879,0.9872585449014338
1986,3,0,1.0,0.4728708045015879,0.9872585449014338
1987,3,0,1.0,0.4728708045015879,0.9872585449014338
1988,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
1989,3,0,1.0,0.4728708045015879,0.9872585449014338
1990,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
1991,3,0,1.0,0.4728708045015879,0.9872585449014338
1992,3,0,1.0,0.4728708045015879,0.9872585449014338
1993,3,0,1.0,0.4728708045015879,0.9872585449014338
1994,3,0,1.0,0.4728708045015879,0.9872585449014338
1995,3,0,1.0,0.4728708045015879,0.9872585449014338
1996,3,0,1.0,0.4728708045015879,0.9872585449014338
1997,3,0,1.0,0.4728708045015879,0.9872585449014338
1998,3,0,1.0,0.4728708045015879,0.9872585449014338
1999,3,0,1.0,0.4728708045015879,0.9872585449014338
2000,3,0,1.0,0.4728708045015879,0.9872585449014338
2001,3,0,1.0,0.4728708045015879,0.9872585449014338
2002,3,0,1.0,0.4728708045015879,0.9872585449014338
2003,3,0,1.0,0.4728708045015879,0.9872585449014338
2004,3,0,1.0,0.4728708045015879,0.9872585449014338
2005,3,0,1.0,0.4728708045015879,0.9872585449014338
2006,3,0,1.0,0.4728708045015879,0.9872585449014338
2007,3,0,1.0,0.4728708045015879,0.9872585449014338
2008,3,0,1.0,0.4728708045015879,0.9872585449014338
2009,3,0,1.0,0.4728708045015879,0.9872585449014338
2010,3,0,1.0,0.4728708045015879,0.9872585449014338
2011,3,0,1.0,0.4728708045015879,0.9872585449014338
2012,3,0,1.0,0.4728708045015879,0.9872585449014338
2013,3,0,1.0,0.4728708045015879,0.9872585449014338
2014,3,0,1.0,0.4728708045015879,0.9872585449014338
2015,3,0,1.0,0.4728708045015879,0.9872585449014338
2016,3,0,1.0,0.4728708045015879,0.9872585449014338
2017,3,0,1.0,0.4728708045015879,0.9872585449014338
2018,3,0,1.0,0.4728708045015879,0.9872585449014338
2019,3,0,1.0,0.4728708045015879,0.9872585449014338
2020,3,0,1.0,0.4728708045015879,0.9872585449014338
2021,3,0,1.0,0.4728708045015879,0.9872585449014338
