correct,incorrect,accuracy,year,chamber,decade
1,0,1.0,1910,Första kammaren,1910
1,0,1.0,1910,Första kammaren,1910
1,0,1.0,1910,Första kammaren,1910
1,0,1.0,1910,Andra kammaren,1910
1,0,1.0,1910,Andra kammaren,1910
1,0,1.0,1910,Andra kammaren,1910
1,0,1.0,1911,Första kammaren,1910
1,0,1.0,1911,Första kammaren,1910
1,0,1.0,1911,Första kammaren,1910
1,0,1.0,1911,Andra kammaren,1910
1,0,1.0,1911,Andra kammaren,1910
1,0,1.0,1911,Andra kammaren,1910
1,0,1.0,1912,Första kammaren,1910
1,0,1.0,1912,Första kammaren,1910
1,0,1.0,1912,Första kammaren,1910
1,0,1.0,1912,Andra kammaren,1910
1,0,1.0,1912,Andra kammaren,1910
1,0,1.0,1912,Andra kammaren,1910
1,0,1.0,1913,Första kammaren,1910
1,0,1.0,1913,Första kammaren,1910
1,0,1.0,1913,Första kammaren,1910
1,0,1.0,1913,Andra kammaren,1910
2,0,1.0,1913,Andra kammaren,1910
1,0,1.0,1914,Första kammaren,1910
1,0,1.0,1914,Första kammaren,1910
1,0,1.0,1914,Första kammaren,1910
1,0,1.0,1914,Andra kammaren,1910
0,1,0.0,1914,Andra kammaren,1910
1,0,1.0,1915,Första kammaren,1910
1,0,1.0,1915,Första kammaren,1910
1,0,1.0,1915,Andra kammaren,1910
1,0,1.0,1915,Andra kammaren,1910
1,0,1.0,1915,Andra kammaren,1910
1,0,1.0,1916,Första kammaren,1910
1,0,1.0,1916,Första kammaren,1910
1,0,1.0,1916,Första kammaren,1910
1,0,1.0,1916,Andra kammaren,1910
1,0,1.0,1916,Andra kammaren,1910
1,0,1.0,1917,Första kammaren,1910
1,0,1.0,1917,Första kammaren,1910
1,0,1.0,1917,Andra kammaren,1910
1,0,1.0,1917,Andra kammaren,1910
1,0,1.0,1917,Andra kammaren,1910
1,0,1.0,1918,Första kammaren,1910
1,0,1.0,1918,Första kammaren,1910
1,0,1.0,1918,Första kammaren,1910
1,0,1.0,1918,Andra kammaren,1910
1,0,1.0,1918,Andra kammaren,1910
1,0,1.0,1918,Andra kammaren,1910
1,0,1.0,1919,Första kammaren,1910
1,0,1.0,1919,Första kammaren,1910
1,0,1.0,1919,Första kammaren,1910
1,0,1.0,1919,Andra kammaren,1910
1,0,1.0,1919,Andra kammaren,1910
1,0,1.0,1920,Första kammaren,1920
1,0,1.0,1920,Första kammaren,1920
1,0,1.0,1920,Andra kammaren,1920
1,0,1.0,1920,Andra kammaren,1920
1,0,1.0,1921,Första kammaren,1920
1,0,1.0,1921,Andra kammaren,1920
1,0,1.0,1921,Andra kammaren,1920
1,0,1.0,1921,Andra kammaren,1920
1,0,1.0,1922,Första kammaren,1920
1,0,1.0,1922,Första kammaren,1920
1,0,1.0,1922,Andra kammaren,1920
0,1,0.0,1922,Andra kammaren,1920
1,0,1.0,1922,Andra kammaren,1920
1,0,1.0,1923,Första kammaren,1920
1,0,1.0,1923,Första kammaren,1920
1,0,1.0,1923,Första kammaren,1920
1,0,1.0,1923,Andra kammaren,1920
1,0,1.0,1923,Andra kammaren,1920
1,0,1.0,1923,Andra kammaren,1920
2,0,1.0,1924,Första kammaren,1920
0,1,0.0,1924,Första kammaren,1920
1,0,1.0,1924,Andra kammaren,1920
1,0,1.0,1924,Andra kammaren,1920
1,0,1.0,1925,Första kammaren,1920
1,0,1.0,1925,Första kammaren,1920
1,0,1.0,1925,Första kammaren,1920
1,0,1.0,1925,Andra kammaren,1920
1,0,1.0,1925,Andra kammaren,1920
1,0,1.0,1925,Andra kammaren,1920
1,0,1.0,1926,Första kammaren,1920
1,0,1.0,1926,Första kammaren,1920
1,0,1.0,1926,Första kammaren,1920
1,0,1.0,1926,Andra kammaren,1920
1,0,1.0,1926,Andra kammaren,1920
1,0,1.0,1926,Andra kammaren,1920
1,0,1.0,1927,Första kammaren,1920
1,0,1.0,1927,Första kammaren,1920
1,0,1.0,1927,Första kammaren,1920
1,0,1.0,1927,Andra kammaren,1920
1,0,1.0,1927,Andra kammaren,1920
1,0,1.0,1927,Andra kammaren,1920
1,0,1.0,1928,Andra kammaren,1920
1,0,1.0,1928,Andra kammaren,1920
1,0,1.0,1928,Andra kammaren,1920
1,0,1.0,1929,Första kammaren,1920
1,0,1.0,1929,Första kammaren,1920
1,0,1.0,1929,Första kammaren,1920
1,0,1.0,1929,Andra kammaren,1920
1,0,1.0,1929,Andra kammaren,1920
1,0,1.0,1930,Första kammaren,1930
1,0,1.0,1930,Första kammaren,1930
1,0,1.0,1930,Andra kammaren,1930
1,0,1.0,1930,Andra kammaren,1930
1,0,1.0,1930,Andra kammaren,1930
1,0,1.0,1931,Första kammaren,1930
1,0,1.0,1931,Första kammaren,1930
1,0,1.0,1931,Andra kammaren,1930
1,0,1.0,1931,Andra kammaren,1930
1,0,1.0,1932,Första kammaren,1930
1,0,1.0,1932,Första kammaren,1930
1,0,1.0,1932,Första kammaren,1930
1,0,1.0,1932,Andra kammaren,1930
1,0,1.0,1932,Andra kammaren,1930
1,0,1.0,1932,Andra kammaren,1930
1,0,1.0,1933,Första kammaren,1930
1,1,0.5,1933,Andra kammaren,1930
1,0,1.0,1933,Andra kammaren,1930
1,0,1.0,1934,Första kammaren,1930
1,0,1.0,1934,Första kammaren,1930
1,0,1.0,1934,Första kammaren,1930
1,0,1.0,1934,Andra kammaren,1930
1,0,1.0,1934,Andra kammaren,1930
1,0,1.0,1934,Andra kammaren,1930
1,0,1.0,1935,Första kammaren,1930
1,0,1.0,1935,Första kammaren,1930
1,0,1.0,1935,Första kammaren,1930
