version,year,correct,incorrect,accuracy,lower,upper
v99.99.99,1867,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1868,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1869,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1870,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1871,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1872,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1873,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1874,2,4,0.3333333333333333,0.1287563928042427,0.658738563844664
v99.99.99,1875,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1876,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1877,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1878,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1879,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1880,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1881,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1882,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1883,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1884,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1885,3,2,0.6,0.2713383725197525,0.8468388820247768
v99.99.99,1886,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1887,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1888,1,2,0.3333333333333333,0.09761146288641434,0.7513953742698181
v99.99.99,1889,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1890,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1891,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1892,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1893,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1894,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1895,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1896,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1897,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1898,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1899,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1900,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1901,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1902,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1903,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1904,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1905,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1906,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1907,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1908,2,2,0.5,0.1892553774377708,0.8107446225622291
v99.99.99,1909,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1910,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1911,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1912,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1913,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1914,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1915,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1916,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1917,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1918,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1919,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1920,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1921,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1922,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1923,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1924,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1925,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1926,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1927,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1928,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1929,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1930,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1931,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1932,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1933,3,1,0.75,0.3425916819988613,0.923559608587671
v99.99.99,1934,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1935,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1936,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1937,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1938,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1939,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1940,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1941,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1942,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1943,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1944,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1945,4,0,1.0,0.5492802716530588,0.9897937816869885
