decade,correct,incorrect,lower,upper,accuracy
1860,9,9,0.3200865295887242,0.6799134704112757,0.5
1870,48,12,0.7008414375371663,0.8690842599477397,0.8070175438596491
1880,42,18,0.5944602159813313,0.7854812594241839,0.7
1890,47,12,0.6961902699846472,0.8668121624565331,0.7982456140350878
1900,56,4,0.8561950404588264,0.9671466720920268,0.9322033898305084
1910,48,12,0.7008414375371663,0.8690842599477397,0.7894736842105263
1920,51,8,0.772260054335675,0.9194545119227059,0.8620689655172413
1930,50,8,0.7686204788586048,0.9180472284987325,0.8571428571428571
1940,55,3,0.8737934432691498,0.976512448112573,0.9464285714285714
1950,54,5,0.8327369235749102,0.9555470322310538,0.9074074074074074
1960,57,2,0.8987641050758384,0.986234842431717,0.9655172413793104
1970,28,0,0.9018553723227043,0.9982328289994504,1.0
1980,22,2,0.7689600660418558,0.9664804050104953,0.9130434782608695
1990,28,0,0.9018553723227043,0.9982328289994504,1.0
2000,30,0,0.9078859400526763,0.998346745733359,1.0
2010,21,2,0.7601989838711982,0.9650466651662819,0.9090909090909091
2020,3,0,0.4728708045015879,0.9872585449014338,1.0
