version,year,correct,incorrect,accuracy,lower,upper
v99.99.99,1867,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1868,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1869,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1870,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1871,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1872,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1873,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1874,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1875,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1876,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1877,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1878,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1879,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1880,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1881,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1882,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1883,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1884,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1885,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1886,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1887,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1888,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1889,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1890,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1891,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1892,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1893,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1894,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1895,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1896,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1897,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1898,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1899,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1900,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1901,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1902,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1903,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1904,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1905,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1906,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1907,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1908,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1909,6,0,1.0,0.6518363448688391,0.9926991680209853
