version,year,known,unknown,accuracy
v1.6.1,1867,16530,723,0.958094244479221
v1.6.1,1868,16567,669,0.9611858899976793
v1.6.1,1869,8411,402,0.9543855667763531
v1.6.1,1870,7238,329,0.9565217391304348
v1.6.1,1871,8973,404,0.956915857950304
v1.6.1,1872,7271,330,0.9565846599131693
v1.6.1,1873,8407,360,0.9589369225504734
v1.6.1,1874,7151,346,0.9538482059490463
v1.6.1,1875,8001,534,0.9374340949033392
v1.6.1,1876,7282,387,0.9495370974051376
v1.6.1,1877,7767,359,0.9558208220526705
v1.6.1,1878,7600,319,0.9597171360020205
v1.6.1,1879,6487,321,0.9528495887191539
v1.6.1,1880,6469,447,0.9353672643146327
v1.6.1,1881,4670,198,0.9593262119967132
v1.6.1,1882,6435,382,0.9439636203608626
v1.6.1,1883,6148,352,0.9458461538461539
v1.6.1,1884,4741,305,0.939556084026952
v1.6.1,1885,6201,298,0.9541467918141252
v1.6.1,1886,6352,304,0.9543269230769231
v1.6.1,1887,4737,364,0.9286414428543422
v1.6.1,1888,6183,297,0.9541666666666667
v1.6.1,1889,6551,269,0.9605571847507332
v1.6.1,1890,5903,291,0.9530190506942202
v1.6.1,1891,5589,290,0.9506718829732947
v1.6.1,1892,6736,375,0.9472648010125159
v1.6.1,1893,5157,244,0.9548231808924273
v1.6.1,1894,6176,351,0.9462233798069557
v1.6.1,1895,5732,303,0.9497928748964375
v1.6.1,1896,5943,318,0.949209391471011
v1.6.1,1897,5768,317,0.9479046836483155
v1.6.1,1898,5634,380,0.9368141004323246
v1.6.1,1899,4425,352,0.9263135859325937
v1.6.1,1900,5105,260,0.9515377446411929
v1.6.1,1901,4961,292,0.9444127165429278
v1.6.1,1902,5819,207,0.9656488549618321
v1.6.1,1903,5919,291,0.9531400966183575
v1.6.1,1904,6541,411,0.9408803222094362
v1.6.1,1905,6521,384,0.9443881245474294
v1.6.1,1906,6158,321,0.9504553171785769
v1.6.1,1907,7193,580,0.9253827351087096
v1.6.1,1908,7918,533,0.9369305407644066
v1.6.1,1909,7632,401,0.9500809162205901
v1.6.1,1910,8828,570,0.9393487976165141
v1.6.1,1911,8796,506,0.9456030961083638
v1.6.1,1912,8796,570,0.9391415759128764
v1.6.1,1913,9380,313,0.9677086557309399
v1.6.1,1914,7689,490,0.9400904756082651
v1.6.1,1915,7210,335,0.9555997349237906
v1.6.1,1916,7062,340,0.954066468522021
v1.6.1,1917,9478,554,0.9447767145135566
v1.6.1,1918,10699,720,0.9369471932743673
v1.6.1,1919,10797,856,0.9265425212391659
v1.6.1,1920,11655,571,0.9532962538851628
v1.6.1,1921,12860,675,0.9501292944218692
v1.6.1,1922,9901,403,0.9608889751552795
v1.6.1,1923,8405,268,0.969099504208463
v1.6.1,1924,8553,98,0.9886718298462606
v1.6.1,1925,7719,75,0.9903772132409546
v1.6.1,1926,8919,93,0.9896804260985352
v1.6.1,1927,8849,132,0.9853023048658278
v1.6.1,1928,9351,121,0.9872255067567568
v1.6.1,1929,9167,189,0.9797990594271055
v1.6.1,1930,10295,150,0.9856390617520344
v1.6.1,1931,8806,155,0.9827028233456088
v1.6.1,1932,11234,249,0.978315771139946
v1.6.1,1933,8668,118,0.9865695424539039
v1.6.1,1934,8506,134,0.9844907407407407
v1.6.1,1935,6933,91,0.9870444191343963
v1.6.1,1936,8569,167,0.9808836996336996
v1.6.1,1937,7041,112,0.9843422340276807
v1.6.1,1938,6599,80,0.9880221590058392
v1.6.1,1939,8131,313,0.9629322595926101
v1.6.1,1940,6734,226,0.9675287356321839
v1.6.1,1941,6306,186,0.9713493530499075
v1.6.1,1942,7319,140,0.981230727979622
v1.6.1,1943,7477,183,0.9761096605744125
v1.6.1,1944,7213,142,0.980693405846363
v1.6.1,1945,9798,212,0.9788211788211788
v1.6.1,1946,9426,213,0.9779022720199191
v1.6.1,1947,7237,138,0.9812881355932204
v1.6.1,1948,13520,184,0.986573263280794
v1.6.1,1949,9972,178,0.9824630541871922
v1.6.1,1950,10729,262,0.9761623146210536
v1.6.1,1951,12587,178,0.9860556208382295
v1.6.1,1952,11295,142,0.9875841566844452
v1.6.1,1953,11010,153,0.986294006987369
v1.6.1,1954,12223,219,0.9823983282430477
v1.6.1,1955,11933,158,0.9869324290794806
v1.6.1,1956,12940,151,0.9884653578794592
v1.6.1,1957,11728,161,0.9864580704853225
v1.6.1,1958,12663,292,0.9774604399845619
v1.6.1,1959,12785,263,0.9798436541998774
v1.6.1,1960,13268,210,0.9844190532719989
v1.6.1,1961,12119,143,0.9883379546566629
v1.6.1,1962,13120,224,0.9832134292565947
v1.6.1,1963,13864,116,0.9917024320457797
v1.6.1,1964,16060,384,0.9766480175139869
v1.6.1,1965,16165,218,0.9866935237746445
v1.6.1,1966,16863,196,0.9885104636848584
v1.6.1,1967,21090,319,0.9850997244149656
v1.6.1,1968,18876,312,0.983739837398374
v1.6.1,1969,20005,294,0.9855165279077787
v1.6.1,1970,21257,223,0.9896182495344507
v1.6.1,1971,15349,455,0.9712098202986585
v1.6.1,1972,16988,633,0.9640769536348675
v1.6.1,1973,15854,585,0.9644138937891599
v1.6.1,1974,14025,572,0.9608138658628486
v1.6.1,1975,26921,1530,0.9462233313416049
v1.6.1,1976,12759,1166,0.9162657091561939
v1.6.1,1977,18273,650,0.9656502668710035
v1.6.1,1978,18657,836,0.9571128097265685
v1.6.1,1979,18242,548,0.9708355508249069
v1.6.1,1980,17101,183,0.9894121731080768
v1.6.1,1981,18636,192,0.9898024219247928
v1.6.1,1982,17360,187,0.9893429076195361
v1.6.1,1983,18565,109,0.994163007389954
v1.6.1,1984,18490,126,0.9932316287064891
v1.6.1,1985,16944,158,0.9907613144661443
v1.6.1,1986,17778,158,0.9911909009812667
v1.6.1,1987,18524,141,0.9924457540851862
v1.6.1,1988,18705,136,0.9927816994851654
v1.6.1,1989,20814,193,0.9908125862807635
v1.6.1,1990,15849,318,0.9803303024679904
v1.6.1,1991,16743,340,0.9800971726277586
v1.6.1,1992,18247,329,0.9822889750215331
v1.6.1,1993,16850,323,0.9811914051126769
